date,home_team,away_team,target,home_goals,away_goals,tournament_weight,is_neutral,home_matches_played,home_goals_for_avg,home_goals_against_avg,home_goal_diff_avg,home_win_pct,home_draw_pct,home_loss_pct,home_recent_form,away_matches_played,away_goals_for_avg,away_goals_against_avg,away_goal_diff_avg,away_win_pct,away_draw_pct,away_loss_pct,away_recent_form,home_elo,away_elo,elo_diff,goal_diff_strength,h2h_home_wins,h2h_away_wins,h2h_draws
2018-01-02,Iraq,United Arab Emirates,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572,1563,9,0.0,0,0,0
2018-01-02,Oman,Bahrain,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516,1420,96,0.0,0,0,0
2018-01-05,Oman,United Arab Emirates,1,0,0,1.0,false,1,1.0,0.0,1.0,1.0,0.0,0.0,0.6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1531,1564,-33,1.0,0,0,0
2018-01-07,Estonia,Sweden,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506,1823,-317,0.0,0,0,0
2018-01-11,Denmark,Sweden,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1840,1816,24,0.0,0,0,0
2018-01-11,Indonesia,Iceland,2,0,6,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237,1811,-574,0.0,0,0,0
2018-01-11,Jordan,Finland,2,1,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481,1594,-113,0.0,0,0,0
2018-01-14,Indonesia,Iceland,2,1,4,1.0,false,1,0.0,6.0,-6.0,0.0,0.0,1.0,0.0,1,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1237,1811,-574,-12.0,0,1,0
2018-01-27,Moldova,South Korea,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330,1760,-430,0.0,0,0,0
2018-01-28,United States,Bosnia-Herzegovina,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751,1723,28,0.0,0,0,0
2018-01-28,Yorkshire,Ellan Vannin,1,1,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0,0.0,0,0,0
2018-01-30,Azerbaijan,Moldova,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1400,1328,72,1.0,0,0,0
2018-01-30,Jamaica,South Korea,1,2,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1564,1762,-198,-1.0,0,0,0
2018-01-31,Mexico,Bosnia-Herzegovina,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1847,1727,120,0.0,0,0,0
2018-02-03,Latvia,South Korea,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.5432963325924707,1.086592665184941,0.4567036674075298,0.0,0.5432963325924705,0.45670366740752966,0.2,1362,1757,-395,-0.4567036674075298,0,0,0
